Date,Open,High,Low,Close,Adj Close,Volume
2000-05-29,34.244373,34.646301,34.244373,34.565914,23.069267,120419
2000-05-30,34.364952,35.249195,34.163986,34.927654,23.310707,319708
2000-05-31,35.249195,35.369774,35.088425,35.369774,23.605768,171050
2000-06-01,34.766880,35.369774,34.766880,35.329582,23.578957,97156
2000-06-02,35.329582,35.570740,34.807076,35.570740,23.739901,292589
2000-06-05,35.369774,35.570740,34.967846,35.128616,23.444822,311498
2000-06-06,35.209003,36.053055,34.967846,35.570740,23.739901,124773
2000-06-07,35.168812,36.133442,35.128616,35.128616,23.444822,220934
2000-06-08,35.570740,35.771706,35.168812,35.168812,23.471649,428931
2000-06-09,35.209003,35.570740,35.168812,35.209003,23.498484,203021
2000-06-12,35.369774,35.369774,35.209003,35.249195,23.525312,326177
2000-06-13,35.369774,35.369774,34.967846,35.128616,23.484999,206753
2000-06-14,35.249195,35.289391,35.088425,35.168812,23.511873,259001
2000-06-15,35.209003,35.450161,34.927654,35.369774,23.646223,291469
2000-06-16,35.048233,35.570740,35.048233,35.570740,23.780571,152141
2000-06-19,35.570740,35.570740,34.646301,35.570740,23.780571,661932
2000-06-20,35.570740,35.570740,34.967846,35.530548,23.753706,99271
2000-06-21,34.967846,35.369774,34.565914,34.565914,23.108803,591771
2000-06-22,34.606110,34.606110,33.561092,33.641479,22.490793,156744
2000-06-23,33.601288,33.963024,33.400322,33.963024,22.705759,223422
2000-06-26,34.646301,34.646301,33.963024,34.003216,22.732624,84094
2000-06-27,34.163986,34.766880,34.003216,34.083603,22.786358,348196
2000-06-28,34.485531,34.565914,34.003216,34.565914,23.108803,131988
2000-06-29,34.565914,34.887459,34.123795,34.123795,22.813227,74018
2000-06-30,34.565914,34.565914,34.083603,34.083603,22.786358,98774
2000-07-03,null,null,null,null,null,null
2000-07-04,34.043407,34.565914,34.043407,34.565914,23.108803,21024
2000-07-05,34.525723,34.525723,33.963024,34.163986,22.840105,957631
2000-07-06,34.364952,34.967846,33.963024,34.967846,23.377527,237231
2000-07-07,35.088425,35.168812,34.726688,35.168812,23.511873,207002
2000-07-10,35.168812,35.570740,34.967846,35.209003,23.538736,155749
2000-07-11,35.329582,36.133442,35.168812,36.012863,24.076151,232504
2000-07-12,36.012863,36.294212,35.972668,35.972668,24.049282,498844
2000-07-13,36.012863,36.374599,35.771706,36.173634,24.183628,70908
2000-07-14,36.374599,36.374599,35.570740,35.932476,24.022411,124898
2000-07-17,35.490353,36.012863,35.490353,36.012863,24.076151,191078
2000-07-18,35.972668,36.294212,35.771706,35.892284,23.995558,131366
2000-07-19,35.892284,35.892284,34.766880,34.967846,23.377527,2201382
2000-07-20,34.967846,35.168812,34.364952,34.726688,23.216293,297814
2000-07-21,34.847267,34.847267,33.681671,33.963024,22.705759,93922
2000-07-24,33.963024,34.967846,33.963024,34.967846,23.377527,231508
2000-07-25,35.369774,35.369774,34.565914,34.967846,23.377527,274800
2000-07-26,34.967846,35.691319,34.766880,35.490353,23.726835,208868
2000-07-27,35.972668,36.173634,35.570740,36.053055,24.103018,443610
2000-07-28,36.173634,36.173634,34.967846,35.369774,23.646223,198418
2000-07-31,35.369774,35.892284,35.209003,35.369774,23.646223,61205
2000-08-01,35.369774,36.173634,34.364952,35.088425,23.458115,169060
2000-08-02,35.369774,35.369774,34.364952,34.445339,23.028206,147912
2000-08-03,35.168812,35.369774,34.364952,34.565914,23.108803,71654
